Abbr,Explication EN,Explication FR,Remarques
(number)IN,Infantry group,Groupe d’infanterie
VBIED,VBIED vehicle-borne improvised explosive device,bombe-véhicule,-borne : la bombe est transportée par un véhicule (//bombe humaine)
VCP,Vehicle Check Point,Point de rendez vous des véhicules
VEH,Vehicle,Véhicule
vic,vicinity,proximité
VIC,"Vehicle? (context - ""ANP officer hit ANA officer with door of VIC...7 to 8 rounds struck ANP VIC"")",VIC pourrait être utilisé pour VehIcule Cargo : Wheeled or tracked equipment; including weapons; that require certain deck space; head room; and other definite clearance.
vitals,Vital signs (for example blood pressure),signes vitaux (par exemple pression sanguine)
VP,Vulnerable point,point vulnérable
VPB,Vehicle patrol base,Base de patrouille en véhicule
VSA,vital signs absent [i.e. dead],sans signe de vie (mort)
W/D,wheels down,moment où un avion atterri - opération terminée
W/U,wheels up,décollage d’un avion (déploiement d’une force) - commencement d’une opération
White Eagle,Polish task force,Force armée polonaise
WIA,Wounded in action,Blessés au combat
WP,White Phosphorus,Phosphore blanc
TIGER,,Forces FR; en Kapissa; 1er semestre 2009; 27ème BCA; bataille d’Alasay
BLACK ROCK,French TF,Forces FR; en Kapissa; Hiver 2009/2010; 13ème BCA
 FRA BG,French TF,Désigne probablement le BatFra stationné à Kaboul puis transformé en GTIA (ou Task Force en anglais) en Surobi
ARES,French TF,détachement des forces spéciales françaises sous commandement américain (à relier à TG ARES)
KORRIGAN,French TF,Forces FR; en Kapissa; 2ème semestre 2009; 3ème RIMa
CHIMERA,French TF,Forces FR; en Kapissa; 2ème semestre 2008; 8ème RPIMa
ALTOR,French TF,Forces FR; en Surobi; 2ème semestre 2008; 2ème REP; embuscade d’Uzbin
DRAGON,French TF,Forces FR; en Surobi; 2ème semestre 2009; 2ème REI
NIJRAB,French FOB in Kapisa district,base du Groupement Tactique InterArmes (GTIA) Kapissa
TAGAB,French FOB in Kapisa district,base du Groupement Tactique InterArmes (GTIA) Kapissa
TORA ,French FOB in Surobi district,base du Groupement Tactique InterArmes (GTIA) Surobi
SUROBI,French-commanded district,L’un des deux districts du Regional Command East (RC-E) sous l’autorité des français
KAPISA,French-commanded district,L’un des deux districts du Regional Command East (RC-E) sous l’autorité des français
AH-64,Apache helicopter,Hélicoptère Apache
58MP,58th Military Company ,58ème compagnie militaire,chargés de sécuriser les routes en Afgh : http://www.freerepublic.com/focus/news/1144195/posts
OMLT,Operational Mentor and Liaison Team,Agent de liaison avec l’armée afghane
WIT,weapons intelligence team,Equipe de renseignement sur l’armement
UBE,Unknown Bulk Explosives,Explosifs inconnus en vrac
SMK,a type of explosive,un type d'explosif
KDK,Kandak,Kandak,bataillons de l'armée afghane (à vérifier) - info supp : A Kandak consist of approximately 750-800 soldiers
LAV,Light Armoured Vehicle,Véhicule blindé léger
DOW,Died of wounds,Décédé de ses blessures
MIL,Military personel,Militaire
DUDE,,,"besoin du contexte ? est-ce un acronyme ? Ou désigne-t-il un ""ami"" : friend > fellow > dude ???
->Nom d'une formation de 2 F-15"
GBU-38,500lbs airborne bomb (GPS-guided),Bombe de 500kg (guidage GPS),http://www.globalsecurity.org/military/systems/munitions/gbu-38.htm
GB,glide bomb,Bombe aéroportée,http://en.wikipedia.org/wiki/Glide_bomb
ENE,East North East,Est Nord Est
TIGERS,Eurocopter helicopters,Hélicoptères de combat Eurocopter
KUTSCHBACH,US base in Tagab valley,Base américaine dans la vallée de Tagab
CAL,Caliber,Calibre
HE,high explosive,explosifs
ASR,Air Support Request or Available Supply Rate,Demande de soutien aérien ou Taux d'approvisionnement/réserve disponible,supply se trad. en fonc du contexte : approvisionnement en eau ? nourriture ? fuel ?
POMZ,TNT explosive (former USSR),explosifs TNT (fabrication soviétique)
trotyl,TNT,TNT
ROCCO,Advanced outpost (Uzbeen Valley; North-East of Kabul),Poste de combat avancé (au Nord Est de Kaboul)
RED,Radiological Exposure Device,Outil d'exposition aux radiations,http://www.dtic.mil/doctrine/dod_dictionary/data/r/20089.html
CSTC,Combat Support Training Center,Centre d'entrainement au combat
Burhann,Afghan security firm,Entreprise de sécurité afghane,http://krogers-dev.thenation.com/doc/20100104/scahill
Burhan,Afghan security firm,Entreprise de sécurité afghane
lafayette,French TF; took over from Korringan in Kapisa,Task force qui a pris le commandement de Kapisa après TF Korrigan,http://waronterrornews.typepad.com/home/2009/11/french-tf-lafayette-takes-over-kapisa.html
ALT,alternative,autres
S:,Size (in relation with S;A;L;T;U;R),Taille (en lien avec S;A;L;T;U;R)
S-,Size (in relation with S;A;L;T;U;R),Taille (en lien avec S;A;L;T;U;R)
A:,Activity (in relation with S;A;L;T;U;R),Activité (en lien avec S;A;L;T;U;R)
A-,Activity (in relation with S;A;L;T;U;R),Activité (en lien avec S;A;L;T;U;R)
L:,Location (in relation with S;A;L;T;U;R),Lieu (en lien avec S;A;L;T;U;R)
L-,Location (in relation with S;A;L;T;U;R),Lieu (en lien avec S;A;L;T;U;R)
T:,Time (in relation with S;A;L;T;U;R),Heure (en lien avec S;A;L;T;U;R)
T-,Time (in relation with S;A;L;T;U;R),Heure (en lien avec S;A;L;T;U;R)
U:,Unit (in relation with S;A;L;T;U;R),Unité (en lien avec S;A;L;T;U;R)
U-,Unit (in relation with S;A;L;T;U;R),Unité (en lien avec S;A;L;T;U;R)
R:,Result (in relation with S;A;L;T;U;R),Résultat (en lien avec S;A;L;T;U;R)
R-,Result (in relation with S;A;L;T;U;R),Résultat (en lien avec S;A;L;T;U;R)
TM,Team,Equipe
AWT,Advanced weapons team,Equipe d'armements avancés
POMLT,Police Operational Mentor and Liaison Team,"Police Operational Mentor and Liaison Team (prononcé “pomelette”) : unité multidisciplinaire regroupant des soldats NATO/ISAF expérimentés et intégrant quelques éléments de la police afghane (civile ou militaire) dans un but de formation / entraînement / liaison. Dérivé en 2007 des OMLT (prononcé ""omelette""); fonctionnant sur le même principe mais qui intégraient des éléments de l'armée afghane au lieu de la police."
NBI,Non-Battle Injury,Blessure en dehors des combats
IJC,ISAF Joint Command,Commandement ISAF
VR15,Remington VR-15; automatic sniper rifle,Remington VR-15 (ou R-15 VTR) Fusil à répétition à lunette américain
F-16,American fighter bomber,Chasseur-bombardier américain
Gazelle,Multitask helicopter (FR; UK),Hélicoptère multitaches
gazaelle,Multitask helicopter (FR; UK),Hélicoptère multitaches
VAB,French Armored Personnel Carrier,Véhicule de l'Avant Blindé; transport de troupes courant français
APC,Armored Personnel Carrier,Armored Personnel Carrier; transport de troupes blindé
CIVSEC,Civilian Security ,Sécurité civile
CW3,chief warrant officer,Adjudant-chef des forces canadiennes ,http://fr.wikipedia.org/wiki/Adjudant-chef#.C2.A0Canada
PC,Pilot in Command,Pilote opérationnel
CE,,désigne vraisemblablement les door-gunners; soldats en charge des mitrailleuses latérales sur les hélicoptères de transport comme le CH-47; le UH-60 ou le CH-53
SPC,Specialist,Spécialiste
KIAS,Knots - Indicated Air Speed,Knots - Indicated Air Speed (vitesse-air indiquée; en noeuds; par opposition à KCAS (Corrected air speed) et KTAS (True air speed). C'est la valeur couramment utilisée pour la vitesse d'un appareil)
Chaff,Decoy - metal particle are released to espace radar-guided missiles,contre-mesure / leurre destiné à éviter les armes guidées par radar (paillettes métalliques larguées par l'appareil menacé)
Flare,Heat-based decoy that helps espace thermoguided missiles,contre-mesure / leurre pour se protéger des armes à guidage thermique (sorte de fusée éclairante dégageant une chaleur et une luminosité intenses; qui détourne le missile de sa cible initiale)
Cocktail,Combination of chaff and flare,"combinaison de ""Chaff"" et/ou de ""Flares"" (combinaisons prédéfinies en quantité et en durée par le pilote; qui peut peut en programmer plusieurs; et n'a plus qu'à appuyer sur un seul bouton en cas de menace)"
SA-14,Surface-to-air missile; Russian-made; thermo-guided; used by insurgents,Munitions Sol-Air russes (lance-roquettes à guidage thermique vraisemblablement utilisés par les insurgés)
SA-7,Surface-to-air missile; Russian-made; thermo-guided; used by insurgents,Munitions Sol-Air russes (lance-roquettes à guidage thermique vraisemblablement utilisés par les insurgés)
FIM-92,Surface-to-air missile; US-made; thermo-guided; used by insurgents,Munitions Sol-Air américaines (lance-roquettes à guidage thermique vraisemblablement utilisés par les insurgés)
Mk-82,Dumb bomb (US),Bombe lisse sans guidage (US)
Mk-83,Dumb bomb (US),Bombe lisse sans guidage (US)
Mk-84,Dumb bomb (US),Bombe lisse sans guidage (US)
CBU,Cluster bomb unit,Bombe à fragmentation
Rockeye,Cluster bomb,Bombe à fragmentation
FFAR,Air-to-surface missile,Missile Air-Sol
AGM-62 Walleye,Air-to-surface missile,Missile Air-Sol
AGM-65 Maverick,Air-to-surface missile,Missile Air-Sol
AGM-114 Hellfire,Air-to-surface missile,Missile Air-Sol
AGM-130,Air-to-surface missile,Missile Air-Sol
AGM-154 JSOW,Air-to-surface missile,Missile Air-Sol
AS30L,Air-to-surface missile,Missile Air-Sol
Brimstone,Air-to-surface missile,Missile Air-Sol
BGL-1000,Laser-guided; French-made bombs (the figure indicates the weight in kg),Bombes françaises; guidage laser; le chiffre indique le poids en kg
BGL-250,Laser-guided; French-made bombs (the figure indicates the weight in kg),Bombes françaises; guidage laser; le chiffre indique le poids en kg
BGL-400,Laser-guided; French-made bombs (the figure indicates the weight in kg),Bombes françaises; guidage laser; le chiffre indique le poids en kg
Leopard,Tank,Tank
Abrams ,American tank,Tank US
